id,created_at,supplier,ekspedisi,total_koli,total_ongkir
380,2026-05-08T18:14:00+00:00,SM SPORT,BARAKA EXPRESS,1,30000
381,2026-07-08T11:26:00+00:00,SM SPORT,BARAKA EXPRESS,1,58000
382,2026-07-08T11:27:00+00:00,FULLMAN,BARAKA EXPRESS,1,110000
383,2026-07-08T19:38:00+00:00,JERC,BARAKA EXPRESS,1,33000
384,2026-09-08T17:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,42000
385,2026-10-08T20:20:00+00:00,FULLMAN,JNE,1,99000
386,2026-12-08T12:50:00+00:00,PATROBAS,CV. BINTANG TIMUR,7,245000
387,2026-12-08T15:49:00+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,6,234800
393,2026-08-01T12:49:00+00:00,KNR,BARAKA EXPRESS,1,175000
394,2026-08-01T17:53:00+00:00,ODYSEY,BARAKA EXPRESS,1,36000
395,2026-08-01T17:53:00+00:00,EXCEED,BARAKA EXPRESS,1,110000
396,2026-08-02T21:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
397,2026-08-02T21:23:00+00:00,WEMBLEY,BARAKA EXPRESS,1,136000
398,2026-08-05T18:14:00+00:00,SM SPORT,BARAKA EXPRESS,1,30000
399,2026-08-07T11:26:00+00:00,SM SPORT,BARAKA EXPRESS,1,58000
400,2026-08-07T11:27:00+00:00,FULLMAN,BARAKA EXPRESS,1,110000
401,2026-08-07T19:38:00+00:00,JERC,BARAKA EXPRESS,1,33000
402,2026-08-09T17:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,42000
403,2026-08-10T20:20:00+00:00,FULLMAN,JNE,1,99000
404,2026-08-12T12:50:00+00:00,PATROBAS,CV. BINTANG TIMUR,7,245000
405,2026-08-12T15:49:00+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,6,234800
406,2026-08-13T16:48:00+00:00,KNR,BARAKA EXPRESS,1,53000
407,2026-08-13T16:48:00+00:00,NERO,BARAKA EXPRESS,1,193000
408,2026-08-13T19:21:00+00:00,KINESIO,BARAKA EXPRESS,1,37000
409,2026-08-13T19:21:00+00:00,EXC,BARAKA EXPRESS,1,136000
410,2026-08-13T19:21:00+00:00,ONE MORE GEAR,BARAKA EXPRESS,1,40000
411,2026-08-15T19:19:15+00:00,(TA) EXC,BARAKA EXPRESS,1,79000
412,2026-08-15T19:20:31+00:00,(TA) KICKNRUSH,BARAKA EXPRESS,1,120000
413,2026-08-16T19:26:06+00:00,(TA) JERC,BARAKA EXPRESS,1,188000
414,2026-08-17T18:07:44+00:00,(TA) YOGA SPORT,BARAKA EXPRESS,1,73000
415,2026-08-17T18:08:29+00:00,(TA) NERO,BARAKA EXPRESS,1,45000
416,2026-08-20T20:59:11+00:00,(TA) DENS SPORT,ACCESS,1,79000
417,2026-08-23T12:36:49+00:00,(TA) UNO,BARAKA EXPRESS,1,28000
418,2026-08-23T12:37:38+00:00,(TA) EXC,BARAKA EXPRESS,1,110000
419,2026-08-23T12:38:35+00:00,(TA) DENS SPORT,BARAKA EXPRESS,1,99000
420,2026-08-23T12:39:22+00:00,(TA) JERC,BARAKA EXPRESS,1,63000
421,2026-08-23T20:09:01+00:00,(TA) EXCEED,BARAKA EXPRESS,1,36000
422,2026-08-24T20:35:20+00:00,JUSTIN - ASTRO SPORT (TA),BARAKA EXPRESS,1,36000
423,2026-08-26T12:57:06+00:00,(TA) KICKNRUSH,BARAKA EXPRESS,1,131000
424,2026-08-27T16:09:06+00:00,VOLT GOALKEEPER GLOVE,JNT CARGO,2,220000
425,2026-08-28T19:42:10+00:00,(TA) JERC,BARAKA EXPRESS,1,68000
427,2026-08-28T19:43:25+00:00,(TA) NERO,BARAKA EXPRESS,1,105000
428,2026-08-28T19:44:19+00:00,(TA) YOGA SPORT,BARAKA EXPRESS,1,92000
429,2026-08-28T19:45:22+00:00,KINESIOJAKARTA,BARAKA EXPRESS,1,47000
